Word,Count
the,150
a,79
of,79
is,67
*,58
to,54
/,46
or,45
an,36
and,34
operator,31
If,30
{,26
one,26
we,26
},25
all,24
in,24
this,23
it,22
type,21
e,20
Preceding,18
Succeeding,17
stack,17
for,17
\identifier,\,17
,17
be,16
assembly,16
~,15
+,15
file,13
<summary>,12
not,12
</summary>,12
with,12
-,12
onto,12
identifier,12
that,12
A,12
as,12
\operator,\,11
on,11
&,11
can,11
pointer,10
if,10
binary/ternary,10
list,10
global,10
The,10
++,9
\semicolon,\,9
by,9
following,9
Version,9
--,9
f,9
you,9
\comma,\,8
requires:,8
\closescope,\,8
pop,8
line,8
\openparen,\,8
push,8
set,8
struct,7
has,7
next,7
types,7
precedence,7
either,7
information,7
at,7
\closeparen,\,7
than,6
access,6
COM,6
have,6
ComVisible,6
Build,6
This,6
<param,6
function,6
current,6
member,6
word,6
values,6
Revision,6
attribute,6
into,6
source,5
literal,5
where,5
output,5
defined,5
true,5
each,5
up,5
when,5
operators,5
<identifier>,5
name,5
#include,5
first,5
which,5
add,5
from,5
every,5
\closebracket,\,5
through,5
but,5
array,5
queue,5
numeric,5
must,5
its,4
character,4
unary,4
In,4
only,4
constant,4
5,4
#endif,4
Scenario,4
variable,4
new,4
between,4
token,4
called,4
encounter,4
infix,4
path,4
need,4
will,4
valid,4
words,4
#define,4
find,4
false,4
off,4
prefix,4
directive,4
value,4
preprocessor,4
<identifier>:,4
less,4
we're,4
result,4
For,4
everything,4
sign,4
any,4
closebracket,4
it's,4
attributes,3
itself,3
visible,3
4,3
1,3
modify,3
Push,3
top,3
default,3
primitive,3
makes,3
cannot,3
Number,3
last,3
tree,3
intermediate,3
\AssemblyVersion("\1.0.*"\)]\,3
components,3
already,3
multiplication,3
postfix,3
finds,3
2,3
constants,3
Member,3
typelib,3
expression,3
matching,3
out,3
WYLO:,3
exposed,3
#ifndef,3
values:,3
what,3
NOT,3
controlled,3
GUID,3
newline,3
transformed,3
their,3
elements,3
\type,\,3
more,3
these,3
An,3
care,3
after,3
\LeftParen,\,3
Numbers,3
four,3
int,3
consists,3
Information,3
should,3
\COM,\,3
members,3
instance,3
project,3
shown,3
lines,3
#ifdef,3
user-defined,3
structs,3
element,3
#else,3
3,3
Once,3
parentheses,3
they're,3
associated,3
plus,3
All,3
about,3
\Identifier,\,3
then,3
evaluate,3
Change,3
include,3
scanning,3
using,3
specify,3
arguments,3
we'll,3
'*',3
abstract,3
General,3
make,3
ID,3
class,3
10,3
below:,3
number,3
Setting,3
Minor,3
ensure,3
Major,3
[assembly:,3
You,3
#else/#endif,2
1:,2
dot,2
ParseExceptions,2
\Console.WriteLine("\{0}:\,2
part,2
equal,2
Initializes,2
\ex.GetType().Name,\,2
<returns>The,2
construct,2
second,2
expected,2
double,2
take,2
local,2
by:,2
RightParen),2
closescope,2
Consider,2
used,2
lexed,2
two,2
here,2
Represents,2
dereference,2
ex.Message);,2
remaining,2
stage,2
\in,\,2
text,2
\#defined,\,2
\e,\,2
been,2
ExpressionFunctionCall,2
do,2
parameters,2
context,2
Two,2
bitwise,2
\"\file"\\,2
Call,2
excluding,2
so,2
\f,\,2
B,2
syntax,2
openscope,2
indicating,2
taken,2
Part,2
may,2
semicolon,2
declarations,2
2:,2
start,2
continue,2
header,2
null,2
Create,2
definitions,2
7,2
\{1}"\,\,2
Dispose,2
Note:,2
operand,2
left-paren,2
=,2
left-parens,2
iff,2
Pointer,2
variable.</param>,2
holding,2
builder,2
argument,2
no,2
isn't,2
Used,2
(++),2
9,2
\right-paren,\,2
look,2
ex),2
just,2
(--),2
ExpressionArrayAccess,2
named,2
run,2
(&):,2
are,2
other,2
such,2
our,2
properly,2
both,2
(*):,2
Defines,2
method,2
containing,2
b,2
#ifdef/#ifndef,2
6,2
(Exception,2
\file,\,2
\cases,\,2
asterisks,2
binary,2
<substitution>,2
catch,2
define,2
<see,2
AND,2
\right-associative,\,2
8,2
processing,2
directory,2
there,2
\tokens,\,2
Valid,2
cleared,2
(i.e,2
minus,2
\Otherwise,\,2
ignore,2
currently,2
indicates,2
included,2
form,2
try,2
generation.</returns>,1
char,1
p_array[25];,1
going,1
replaced,1
\argv),\,1
predecrement,1
void,1
parens,1
\pointers),\,1
merely,1
preprocesses,1
\(OpDereference,\,1
condition,1
normal,1
(operators,1
ways:,1
all-bits-zero.</param>,1
variable's,1
structure,1
OpAssignment,1
dealing,1
Infix,1
below,1
\period,\,1
THIS,1
\line,\,1
distinguish,1
Operators,1
\now,\,1
Terminology,1
Lexes,1
\declarator,\,1
Every,1
letter,1
Then,1
\commas,\,1
things,1
\name="\tree"\>The\,1
true),1
\newline,\,1
I,1
\args,\,1
\NumericLiteral,\,1
List<ExpressionElement>,1
Use,1
Parses,1
around,1
FOOL,1
mark,1
FIGURE,1
substitutions,1
\(Identifier,\,1
method.),1
figure,1
subtraction,1
OpInverse,1
(if,1
\First,\,1
variables,1
Typecasts,1
\y,\,1
one-member,1
Identifier,1
solution,1
identifer,1
\FirstDefinitionTokenIndex,\,1
\FUNCTIONS,\,1
single,1
ExpressionFunctionParamets,1
left,1
\roughly,\,1
newlines,1
get,1
go,1
OpBitwiseNOT,1
arrow,1
user,1
ExpressionTypecast,1
code,1
lexer,1
index,1
lpstring-typed,1
now,1
Identifier),1
forms,1
files,1
\dereference,\,1
Binary,1
middle,1
asterisk,1
(write,1
over,1
\cref="\GlobalVariableDeclaration"\/>\,1
particularly,1
T,1
ExpressionTypeCast,1
T*,1
\Name,\,1
create,1
guaranteed,1
directive;,1
<returns>A,1
declaration,1
scope,1
helps,1
nesting,1
\ExpressionArrayAccess,\,1
\balance,\,1
(3,1
pv;,1
Set,1
split,1
throws,1
scanned,1
file.</returns>,1
pass,1
\#ifndef,\,1
\name="\initialValue"\>The\,1
(+),1
contain,1
never,1
<substitute>:,1
ToElements-ed,1
\(ExpressionMemberAccess,\,1
beginning,1
name..,1
load,1
StringLiteral,1
Aftercondition,1
\types,\,1
When,1
additional,1
fully,1
inverse,1
know,1
operation,1
Succeeded,1
\access,\,1
\declaration,\,1
unique,1
SizeOf,1
defintion,1
...usually,1
names,1
keyword,1
can't,1
(meaning,1
OpPointerAccess,1
Undefines,1
constructor,1
Loads,1
AFTER,1
void-,1
why,1
like,1
\name="\expected"\>The\,1
some,1
Scan,1
func_ptr,1
Stack<ExpressionElement>,1
they'll,1
\Here,\,1
Get,1
instances,1
(including,1
They'll,1
\left-associative,\,1
OperatorMemberAccess,1
100,1
Given,1
preprocessed,1
byte**,1
full,1
considered,1
ExpressionFunctionCall.Parameters,1
OpPostdecrement,1
own,1
\values,\,1
probably,1
\member,\,1
<file>,1
rules,1
handled,1
same,1
fix,1
tokens,1
ptr;,1
ExpressionFunctionParameters,1
also,1
name;,1
\false,\,1
comment,1
2),1
Follow,1
stream,1
(?):,1
Functions,1
Here,1
string,1
enumerator's,1
\name="\name"\>The\,1
skips,1
dir,1
Credit,1
exists,1
assigns,1
another,1
OpLogicalNOT,1
differently,1
<,1
token.</param>,1
#,1
call,1
Resolve,1
\(OperatorSizeOf,\,1
calls,1
i,1
\form,\,1
field,1
immediately,1
preprocess,1
actual,1
Notes:,1
\name="\type"\>The\,1
definitions:,1
main(int,1
emitting,1
return,1
(~),1
root,1
item,1
OpPointerDerefence,1
At,1
directives,1
Loop,1
Ternary,1
resolved,1
int*,1
\digit,\,1
Other,1
postincrement,1
OpPredecrement,1
OpPreincrement,1
track,1
OpMemberAccess,1
lexing,1
aren't,1
conditionalValue,1
#undefine,1
them,1
\found,\,1
[which,1
OpPostincrement,1
instead,1
won't,1
LastTokenIndex,1
FromTokenStream,1
throw,1
\point,\,1
strings,1
appear,1
\#ifdef,\,1
operands),1
identity,1
tilde,1
ppb;,1
substitute,1
preincrement,1
Substitutes,1
within,1
\that)),\,1
but..,1
\Okay,\,1
type:,1
denote,1
â™¥,1
(->):,1
Gets,1
parsed,1
Preceded,1
ARRAY,1
\yet,\,1
(or,1
processed,1
different,1
setting,1
before,1
Root,1
characters,1
Add,1
\call,\,1
don't,1
difficult,1
initial,1
composed,1
suffixes,1
items,1
\add,\,1
(int,1
looking,1
Ensure,1
Indeterminate,1
definition,1
fundamental,1
Keeps,1
>,1
\add]),\,1
\argc,\,1
First,1
\itself,\,1
OpAdd,1
logical,1
handler,1
Stores,1
x;,1
void*,1
wow,1
Names,1
still,1
loop,1
(-),1
OpIdentity,1
becomes,1
size,1
Do,1
\(sort(&array)),\,1
\name="\filePath"\>The\,1
(as,1
often,1
ExpressionMemberAccess,1
OpVariableDerefence,1
literals,1
3:,1
valid.</returns>,1
Take,1
all),1
y,1
lexing;,1
i;,1
\instance,\,1
paths,1
holds,1
returns,1
exclamation,1
strictly,1
might,1
lexed.</param>,1
being,1
it;,1
conditional,1
Empty,1
addition,1
version,1
Find,1
fully-formed,1
thing,1
\RightParen),\,1
http://stackoverflow.com/a/894567,1
soon,1
array[50];,1
THAT),1
tokenizer,1
Skip,1
uncommented,1
Divides,1
\say,\,1
OpSubtract,1
postdecrement,1
\literal),\,1
And,1
We've,1
(NOTE:,1
individual,1
note:,1
left-associative,1
syntactic,1
\variable,\,1
137;,1
OpBitwiseAnd,1
keep,1
transforming,1
final,1
stored,1
BCL-analogous,1
\Also,\,1
ampersand,1
levels,1
forming,1
\cref="\Lexer"\/>\,1
U,1
seriously,1
IMPLEMENT,1
\kind,\,1
implied;,1
x,1
was,1
Regex,1
contents,1
generation.</param>,1
YOU,1
\more,\,1
declarator,1
...it,1
MUST,1
openparen,1
TYPECASTS,1
char**,1
\asterisks,\,1
grab,1
digits,1
OpMultiply,1
end,1
We'll,1
<file>:,1
(+):,1
(numeric,1
nametable,1
totally,1
use,1
\},\,1
(.):,1
OR,1
Pass,1
accesses,1
NOTE:,1
Checks,1
<substitute>,1
(-):,1
(!),1
\mind,\,1
issues,1
append,1
OUT,1
acts,1
data,1
short*,1
__SOME_FILE__),1
\level,\,1
ACCESS,1
level,1
off:,1
closeparen,1
typecast,1
assignment,1
because,1
feeling,1
TODO:,1
4:,1
kind,1
